 Ferrocene PUBLISHED DATA                                         Feff 8.10
 Abs   Z=26 Rmt= 1.254 Rnm= 1.300 K  shell
 Pot 1 Z= 6 Rmt= 0.847 Rnm= 1.043
 Pot 2 Z= 1 Rmt= 0.763 Rnm= 0.924
 Gam_ch=1.309E+00 H-L exch
 Mu= 5.790E+00 kf=2.396E+00 Vint=-1.608E+01 Rs_int= 1.514
 S02  1.000                                        Global sig2  0.00100
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    7452.316    342.440   9.400  9.27841E-01  9.29382E-01 -1.65820E-03
    7455.907    346.031   9.450  9.28198E-01  9.27639E-01  6.02626E-04
    7459.517    349.641   9.500  9.28525E-01  9.25897E-01  2.84020E-03
    7463.146    353.270   9.550  9.29113E-01  9.24568E-01  4.91756E-03
    7466.794    356.918   9.600  9.29515E-01  9.23239E-01  6.79907E-03
    7470.461    360.585   9.650  9.29670E-01  9.21910E-01  8.41839E-03
    7474.147    364.271   9.700  9.29530E-01  9.20582E-01  9.72134E-03
    7477.852    367.976   9.750  9.29059E-01  9.19253E-01  1.06680E-02
    7481.577    371.701   9.800  9.28237E-01  9.17924E-01  1.12342E-02
    7485.320    375.444   9.850  9.27057E-01  9.16595E-01  1.14114E-02
    7489.082    379.206   9.900  9.25527E-01  9.15266E-01  1.12065E-02
    7492.864    382.988   9.950  9.23666E-01  9.13937E-01  1.06406E-02
    7496.664    386.788  10.000  9.21508E-01  9.12608E-01  9.74657E-03
    7500.484    390.608  10.050  9.20416E-01  9.12597E-01  8.56758E-03
    7504.322    394.446  10.100  9.19120E-01  9.12586E-01  7.16405E-03
    7508.180    398.304  10.150  9.17671E-01  9.12575E-01  5.59096E-03
    7512.057    402.181  10.200  9.16121E-01  9.12564E-01  3.90540E-03
    7515.952    406.076  10.250  9.14523E-01  9.12553E-01  2.16462E-03
    7519.867    409.991  10.300  9.12928E-01  9.12542E-01  4.24348E-04
    7523.801    413.925  10.350  9.11383E-01  9.12531E-01 -1.26252E-03
    7527.754    417.878  10.400  9.09932E-01  9.12519E-01 -2.84699E-03
    7531.726    421.850  10.450  9.08617E-01  9.12508E-01 -4.28476E-03
    7535.717    425.841  10.500  9.07472E-01  9.12497E-01 -5.53701E-03
    7539.727    429.851  10.550  9.06526E-01  9.12486E-01 -6.57098E-03
    7543.756    433.880  10.600  9.05803E-01  9.12475E-01 -7.36072E-03
    7547.804    437.928  10.650  9.05318E-01  9.12464E-01 -7.88777E-03
    7551.871    441.995  10.700  9.05082E-01  9.12453E-01 -8.14188E-03
    7555.957    446.081  10.750  9.05093E-01  9.12442E-01 -8.12169E-03
    7560.062    450.186  10.800  9.05346E-01  9.12431E-01 -7.83518E-03
    7564.187    454.311  10.850  9.05823E-01  9.12420E-01 -7.29986E-03
    7568.330    458.454  10.900  9.06500E-01  9.12409E-01 -6.54257E-03
    7572.492    462.616  10.950  9.07344E-01  9.12398E-01 -5.59868E-03
    7576.674    466.798  11.000  9.08318E-01  9.12387E-01 -4.51083E-03
    7580.874    470.998  11.050  9.06718E-01  9.09735E-01 -3.34938E-03
    7585.094    475.218  11.100  9.05177E-01  9.07083E-01 -2.11920E-03
    7589.333    479.457  11.150  9.03650E-01  9.04431E-01 -8.69384E-04
    7593.590    483.714  11.200  9.02094E-01  9.01779E-01  3.52045E-04
    7597.867    487.991  11.250  9.00470E-01  8.99127E-01  1.50046E-03
    7602.163    492.287  11.300  8.98741E-01  8.96475E-01  2.53667E-03
    7606.477    496.601  11.350  8.96881E-01  8.93823E-01  3.42861E-03
    7610.811    500.935  11.400  8.94869E-01  8.91171E-01  4.15252E-03
    7615.164    505.288  11.450  8.92693E-01  8.88519E-01  4.69354E-03
    7619.536    509.660  11.500  8.90347E-01  8.85867E-01  5.04572E-03
    7623.927    514.051  11.550  8.87835E-01  8.83215E-01  5.21144E-03
    7628.337    518.461  11.600  8.85165E-01  8.80563E-01  5.20036E-03
    7632.766    522.890  11.650  8.82354E-01  8.77911E-01  5.02804E-03
    7637.214    527.338  11.700  8.79418E-01  8.75259E-01  4.71432E-03
    7641.682    531.806  11.750  8.76378E-01  8.72607E-01  4.28170E-03
    7646.168    536.292  11.800  8.73256E-01  8.69955E-01  3.75383E-03
    7650.673    540.797  11.850  8.70072E-01  8.67303E-01  3.15425E-03
    7655.198    545.322  11.900  8.66847E-01  8.64651E-01  2.50543E-03
    7659.741    549.865  11.950  8.63599E-01  8.61999E-01  1.82817E-03
    7664.303    554.427  12.000  8.60344E-01  8.59347E-01  1.14130E-03
    7668.885    559.009  12.050  8.57179E-01  8.56833E-01  3.97454E-04
    7673.486    563.610  12.100  8.54033E-01  8.54318E-01 -3.27693E-04
    7678.105    568.229  12.150  8.50922E-01  8.51804E-01 -1.01507E-03
    7682.744    572.868  12.200  8.47860E-01  8.49290E-01 -1.64881E-03
    7687.401    577.525  12.250  8.44857E-01  8.46775E-01 -2.21571E-03
    7692.078    582.202  12.300  8.41924E-01  8.44261E-01 -2.70455E-03
    7696.774    586.898  12.350  8.39069E-01  8.41746E-01 -3.10558E-03
    7701.489    591.613  12.400  8.36297E-01  8.39232E-01 -3.41015E-03
    7706.223    596.347  12.450  8.33616E-01  8.36718E-01 -3.61060E-03
    7710.976    601.100  12.500  8.31031E-01  8.34203E-01 -3.70048E-03
    7715.748    605.872  12.550  8.28544E-01  8.31689E-01 -3.67511E-03
    7720.539    610.663  12.600  8.26158E-01  8.29174E-01 -3.53218E-03
    7725.349    615.473  12.650  8.23871E-01  8.26660E-01 -3.27259E-03
    7730.178    620.302  12.700  8.21678E-01  8.24146E-01 -2.90106E-03
    7735.026    625.150  12.750  8.19571E-01  8.21631E-01 -2.42674E-03
    7739.894    630.018  12.800  8.17538E-01  8.19117E-01 -1.86341E-03
    7744.780    634.904  12.850  8.15563E-01  8.16603E-01 -1.22933E-03
    7749.685    639.809  12.900  8.13627E-01  8.14088E-01 -5.46831E-04
    7754.610    644.734  12.950  8.11707E-01  8.11574E-01  1.58564E-04
    7759.553    649.677  13.000  8.09782E-01  8.09059E-01  8.59295E-04
    7764.516    654.640  13.050  8.10095E-01  8.08842E-01  1.49216E-03
    7769.497    659.621  13.100  8.10350E-01  8.08624E-01  2.05813E-03
    7774.498    664.622  13.150  8.10533E-01  8.08407E-01  2.53869E-03
    7779.517    669.641  13.200  8.10632E-01  8.08189E-01  2.91956E-03
    7784.556    674.680  13.250  8.10638E-01  8.07972E-01  3.19094E-03
    7789.614    679.738  13.300  8.10547E-01  8.07754E-01  3.34762E-03
    7794.691    684.815  13.350  8.10361E-01  8.07537E-01  3.38868E-03
    7799.786    689.911  13.400  8.10080E-01  8.07319E-01  3.31716E-03
    7804.901    695.025  13.450  8.09711E-01  8.07101E-01  3.13947E-03
    7810.035    700.159  13.500  8.09262E-01  8.06884E-01  2.86491E-03
    7815.188    705.312  13.550  8.08743E-01  8.06666E-01  2.50506E-03
    7820.360    710.484  13.600  8.08166E-01  8.06449E-01  2.07336E-03
    7825.552    715.676  13.650  8.07542E-01  8.06231E-01  1.58464E-03
    7830.762    720.886  13.700  8.06885E-01  8.06014E-01  1.05484E-03
    7835.991    726.115  13.750  8.06209E-01  8.05796E-01  5.00658E-04
    7841.239    731.363  13.800  8.05529E-01  8.05578E-01 -6.06345E-05
    7846.506    736.630  13.850  8.04858E-01  8.05361E-01 -6.11539E-04
    7851.793    741.917  13.900  8.04211E-01  8.05143E-01 -1.13464E-03
    7857.098    747.222  13.950  8.03602E-01  8.04926E-01 -1.61303E-03
    7862.423    752.547  14.000  8.03044E-01  8.04708E-01 -2.03083E-03
    7867.766    757.890  14.050  8.02280E-01  8.04219E-01 -2.37063E-03
    7873.129    763.253  14.100  8.01586E-01  8.03729E-01 -2.62646E-03
    7878.510    768.634  14.150  8.00968E-01  8.03240E-01 -2.78905E-03
    7883.911    774.035  14.200  8.00432E-01  8.02750E-01 -2.85257E-03
    7889.331    779.455  14.250  7.99977E-01  8.02261E-01 -2.81510E-03
    7894.769    784.893  14.300  7.99603E-01  8.01771E-01 -2.67885E-03
    7900.227    790.351  14.350  7.99302E-01  8.01282E-01 -2.45025E-03
    7905.704    795.828  14.400  7.99067E-01  8.00793E-01 -2.13972E-03
    7911.200    801.324  14.450  7.98886E-01  8.00303E-01 -1.76130E-03
    7916.715    806.839  14.500  7.98744E-01  7.99814E-01 -1.33187E-03
    7922.249    812.373  14.550  7.98627E-01  7.99324E-01 -8.70326E-04
    7927.802    817.926  14.600  7.98518E-01  7.98835E-01 -3.96534E-04
    7933.374    823.498  14.650  7.98401E-01  7.98345E-01  6.97936E-05
    7938.965    829.089  14.700  7.98262E-01  7.97856E-01  5.10175E-04
    7944.575    834.699  14.750  7.98088E-01  7.97366E-01  9.08345E-04
    7950.205    840.329  14.800  7.97869E-01  7.96877E-01  1.25106E-03
    7955.853    845.977  14.850  7.97597E-01  7.96387E-01  1.52865E-03
    7961.520    851.644  14.900  7.97268E-01  7.95898E-01  1.73528E-03
    7967.207    857.331  14.950  7.96881E-01  7.95409E-01  1.86894E-03
    7972.912    863.036  15.000  7.96438E-01  7.94919E-01  1.93114E-03
    7978.637    868.761  15.050  7.95367E-01  7.93829E-01  1.95938E-03
    7984.380    874.504  15.100  7.94240E-01  7.92739E-01  1.91648E-03
