      k          chi          mag           phase @#
    12.3000   -2.597714E-03  3.785002E-03  3.531393E+01
    12.3500   -2.987614E-03  3.723325E-03  3.548883E+01
    12.4000   -3.280712E-03  3.672219E-03  3.566235E+01
    12.4500   -3.477032E-03  3.632094E-03  3.583506E+01
    12.5000   -3.576661E-03  3.602883E-03  3.600759E+01
    12.5500   -3.579173E-03  3.584064E-03  3.618056E+01
    12.6000   -3.483637E-03  3.574709E-03  3.635453E+01
    12.6500   -3.289172E-03  3.573569E-03  3.652997E+01
    12.7000   -2.995913E-03  3.579165E-03  3.670726E+01
    12.7500   -2.606199E-03  3.589886E-03  3.688665E+01
    12.8000   -2.125744E-03  3.604086E-03  3.706828E+01
    12.8500   -1.564585E-03  3.620159E-03  3.725220E+01
    12.9000   -9.376159E-04  3.636607E-03  3.743834E+01
    12.9500   -2.645986E-04  3.652079E-03  3.762660E+01
    13.0000    4.303884E-04  3.665399E-03  3.781680E+01
    13.0500    1.086012E-03  3.649130E-03  3.800130E+01
    13.1000    1.700416E-03  3.630777E-03  3.818652E+01
    13.1500    2.250937E-03  3.610128E-03  3.837233E+01
    13.2000    2.717292E-03  3.587073E-03  3.855862E+01
    13.2500    3.082590E-03  3.561594E-03  3.874528E+01
    13.3000    3.334134E-03  3.533747E-03  3.893219E+01
    13.3500    3.463961E-03  3.503641E-03  3.911926E+01
    13.4000    3.469104E-03  3.471419E-03  3.930643E+01
    13.4500    3.351595E-03  3.437248E-03  3.949362E+01
    13.5000    3.118220E-03  3.401298E-03  3.968078E+01
    13.5500    2.780081E-03  3.363737E-03  3.986787E+01
    13.6000    2.352002E-03  3.324717E-03  4.005485E+01
    13.6500    1.851809E-03  3.284381E-03  4.024170E+01
    13.7000    1.299538E-03  3.242853E-03  4.042838E+01
    13.7500    7.165871E-04  3.200246E-03  4.061487E+01
    13.8000    1.248403E-04  3.156670E-03  4.080115E+01
    13.8500   -4.541949E-04  3.112231E-03  4.098717E+01
    13.9000   -1.000220E-03  3.067044E-03  4.117290E+01
    13.9500   -1.494905E-03  3.021238E-03  4.135831E+01
    14.0000   -1.922543E-03  2.974957E-03  4.154335E+01
    14.0500   -2.268533E-03  2.932782E-03  4.172506E+01
    14.1000   -2.529028E-03  2.889405E-03  4.190671E+01
    14.1500   -2.697562E-03  2.844903E-03  4.208825E+01
    14.2000   -2.771266E-03  2.799385E-03  4.226964E+01
    14.2500   -2.750853E-03  2.752984E-03  4.245085E+01
    14.3000   -2.640437E-03  2.705849E-03  4.263183E+01
    14.3500   -2.447193E-03  2.658135E-03  4.281257E+01
    14.4000   -2.180915E-03  2.609997E-03  4.299307E+01
    14.4500   -1.853485E-03  2.561572E-03  4.317333E+01
    14.5000   -1.478325E-03  2.512973E-03  4.335337E+01
    14.5500   -1.069839E-03  2.464280E-03  4.353322E+01
    14.6000   -6.428908E-04  2.415535E-03  4.371290E+01
    14.6500   -2.123182E-04  2.366739E-03  4.389247E+01
    14.7000    2.075109E-04  2.317853E-03  4.407194E+01
    14.7500    6.031095E-04  2.268806E-03  4.425136E+01
    14.8000    9.622551E-04  2.219501E-03  4.443072E+01
    14.8500    1.274352E-03  2.169827E-03  4.461002E+01
    14.9000    1.530771E-03  2.119675E-03  4.478924E+01
    14.9500    1.725144E-03  2.068950E-03  4.496830E+01
    15.0000    1.853603E-03  2.017584E-03  4.514713E+01
    15.0500    1.950790E-03  1.996497E-03  4.533870E+01
    15.1000    1.973227E-03  1.973725E-03  4.553064E+01
    15.1500    1.921197E-03  1.949189E-03  4.572277E+01
    15.2000    1.798368E-03  1.922879E-03  4.591493E+01
    15.2500    1.611587E-03  1.894848E-03  4.610694E+01
    15.3000    1.370455E-03  1.865215E-03  4.629860E+01
    15.3500    1.086713E-03  1.834155E-03  4.648975E+01
    15.4000    7.735023E-04  1.801897E-03  4.668020E+01
    15.4500    4.445664E-04  1.768716E-03  4.686982E+01
    15.5000    1.134673E-04  1.734918E-03  4.705844E+01
    15.5500   -2.071169E-04  1.700835E-03  4.724597E+01
    15.6000   -5.059592E-04  1.666813E-03  4.743230E+01
    15.6500   -7.736815E-04  1.633197E-03  4.761740E+01
    15.7000   -1.002971E-03  1.600323E-03  4.780124E+01
