 name:     copper                                                 Feff 8.10
 formula:  Cu
 sites:    Cu1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, fcc
 Abs   Z=29 Rmt= 1.407 Rnm= 1.452 K  shell
 Pot 1 Z=29 Rmt= 1.353 Rnm= 1.390
 Gam_ch=1.729E+00 H-L exch
 Mu=-7.603E+00 kf=1.992E+00 Vint=-1.688E+01 Rs_int= 1.821
 S02  1.000                                        Global sig2  0.00000
 Curved wave amplitude ratio filter   4.000%
    file         sig2 tot  cw amp ratio   deg  nlegs   reff  inp sig2
    0/   0 paths used
 -----------------------------------------------------------------------
      k          chi          mag           phase @#
    16.6000    0.000000E+00  0.000000E+00  0.000000E+00
    16.6500    0.000000E+00  0.000000E+00  0.000000E+00
    16.7000    0.000000E+00  0.000000E+00  0.000000E+00
    16.7500    0.000000E+00  0.000000E+00  0.000000E+00
    16.8000    0.000000E+00  0.000000E+00  0.000000E+00
    16.8500    0.000000E+00  0.000000E+00  0.000000E+00
    16.9000    0.000000E+00  0.000000E+00  0.000000E+00
    16.9500    0.000000E+00  0.000000E+00  0.000000E+00
    17.0000    0.000000E+00  0.000000E+00  0.000000E+00
    17.0500    0.000000E+00  0.000000E+00  0.000000E+00
    17.1000    0.000000E+00  0.000000E+00  0.000000E+00
    17.1500    0.000000E+00  0.000000E+00  0.000000E+00
    17.2000    0.000000E+00  0.000000E+00  0.000000E+00
    17.2500    0.000000E+00  0.000000E+00  0.000000E+00
    17.3000    0.000000E+00  0.000000E+00  0.000000E+00
    17.3500    0.000000E+00  0.000000E+00  0.000000E+00
    17.4000    0.000000E+00  0.000000E+00  0.000000E+00
    17.4500    0.000000E+00  0.000000E+00  0.000000E+00
    17.5000    0.000000E+00  0.000000E+00  0.000000E+00
    17.5500    0.000000E+00  0.000000E+00  0.000000E+00
    17.6000    0.000000E+00  0.000000E+00  0.000000E+00
    17.6500    0.000000E+00  0.000000E+00  0.000000E+00
    17.7000    0.000000E+00  0.000000E+00  0.000000E+00
    17.7500    0.000000E+00  0.000000E+00  0.000000E+00
    17.8000    0.000000E+00  0.000000E+00  0.000000E+00
    17.8500    0.000000E+00  0.000000E+00  0.000000E+00
    17.9000    0.000000E+00  0.000000E+00  0.000000E+00
    17.9500    0.000000E+00  0.000000E+00  0.000000E+00
    18.0000    0.000000E+00  0.000000E+00  0.000000E+00
    18.0500    0.000000E+00  0.000000E+00  0.000000E+00
    18.1000    0.000000E+00  0.000000E+00  0.000000E+00
    18.1500    0.000000E+00  0.000000E+00  0.000000E+00
    18.2000    0.000000E+00  0.000000E+00  0.000000E+00
    18.2500    0.000000E+00  0.000000E+00  0.000000E+00
    18.3000    0.000000E+00  0.000000E+00  0.000000E+00
    18.3500    0.000000E+00  0.000000E+00  0.000000E+00
    18.4000    0.000000E+00  0.000000E+00  0.000000E+00
    18.4500    0.000000E+00  0.000000E+00  0.000000E+00
    18.5000    0.000000E+00  0.000000E+00  0.000000E+00
    18.5500    0.000000E+00  0.000000E+00  0.000000E+00
    18.6000    0.000000E+00  0.000000E+00  0.000000E+00
    18.6500    0.000000E+00  0.000000E+00  0.000000E+00
    18.7000    0.000000E+00  0.000000E+00  0.000000E+00
    18.7500    0.000000E+00  0.000000E+00  0.000000E+00
    18.8000    0.000000E+00  0.000000E+00  0.000000E+00
    18.8500    0.000000E+00  0.000000E+00  0.000000E+00
    18.9000    0.000000E+00  0.000000E+00  0.000000E+00
    18.9500    0.000000E+00  0.000000E+00  0.000000E+00
    19.0000    0.000000E+00  0.000000E+00  0.000000E+00
    19.0500    0.000000E+00  0.000000E+00  0.000000E+00
    19.1000    0.000000E+00  0.000000E+00  0.000000E+00
    19.1500    0.000000E+00  0.000000E+00  0.000000E+00
    19.2000    0.000000E+00  0.000000E+00  0.000000E+00
    19.2500    0.000000E+00  0.000000E+00  0.000000E+00
    19.3000    0.000000E+00  0.000000E+00  0.000000E+00
    19.3500    0.000000E+00  0.000000E+00  0.000000E+00
    19.4000    0.000000E+00  0.000000E+00  0.000000E+00
    19.4500    0.000000E+00  0.000000E+00  0.000000E+00
    19.5000    0.000000E+00  0.000000E+00  0.000000E+00
    19.5500    0.000000E+00  0.000000E+00  0.000000E+00
    19.6000    0.000000E+00  0.000000E+00  0.000000E+00
    19.6500    0.000000E+00  0.000000E+00  0.000000E+00
    19.7000    0.000000E+00  0.000000E+00  0.000000E+00
    19.7500    0.000000E+00  0.000000E+00  0.000000E+00
    19.8000    0.000000E+00  0.000000E+00  0.000000E+00
    19.8500    0.000000E+00  0.000000E+00  0.000000E+00
    19.9000    0.000000E+00  0.000000E+00  0.000000E+00
    19.9500    0.000000E+00  0.000000E+00  0.000000E+00
    20.0000    0.000000E+00  0.000000E+00  0.000000E+00
